@relation westEast
@attribute Train_id {128, 92, 26, 50, 45, 84, 14, 70, 88, 65, 125, 129, 18, 100, 15, 120, 90, 101, 104, 33}
@attribute C0 real [1.0, 4.0]
@attribute C1=bucket real [0.0, 1.0]
@attribute C1=ellipse real [0.0, 1.0]
@attribute C1=hexagon real [0.0, 1.0]
@attribute C1=rectangle real [0.0, 1.0]
@attribute C1=u_shaped real [0.0, 1.0]
@attribute C2=long real [0.0, 1.0]
@attribute C2=short real [0.0, 1.0]
@attribute C3=double real [0.0, 1.0]
@attribute C3=not_double real [0.0, 1.0]
@attribute C4=arc real [0.0, 1.0]
@attribute C4=flat real [0.0, 1.0]
@attribute C4=jagged real [0.0, 1.0]
@attribute C4=none real [0.0, 1.0]
@attribute C4=peaked real [0.0, 1.0]
@attribute C5 real [2.0, 3.0]
@attribute L0=circle real [0.0, 1.0]
@attribute L0=diamond real [0.0, 1.0]
@attribute L0=hexagon real [0.0, 1.0]
@attribute L0=rectangle real [0.0, 1.0]
@attribute L0=triangle real [0.0, 1.0]
@attribute L0=utriangle real [0.0, 1.0]
@attribute L1 real [0.0, 3.0]
@attribute Train_list1_order real [0.0, 3.0]
@attribute Class {0, 1}
@inputs Train_id, C0, C1=bucket, C1=ellipse, C1=hexagon, C1=rectangle, C1=u_shaped, C2=long, C2=short, C3=double, C3=not_double, C4=arc, C4=flat, C4=jagged, C4=none, C4=peaked, C5 real, L0=circle, L0=diamond, L0=hexagon, L0=rectangle, L0=triangle, L0=utriangle, L1, Train_list1_order
@outputs Class
@data
128, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 1
128, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1
128, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1
128, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1
33, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1
33, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1
33, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1
33, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1
45, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 1
45, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0, 0.0, 1
